Loading repository data...
Reading installed packages...

S | Name                                       | Summary                                                                                              | Type       
i | libwavpack1                                | Free Hybrid Lossless Audio Compression Format                                                        | package    
i | libwayland-client0                         | Wayland core client library                                                                          | package    
i | libwayland-cursor0                         | Wayland cursor library                                                                               | package    
i | libwayland-egl1                            | Additional egl functions for wayland                                                                 | package    
i | libwayland-server0                         | Wayland core server library                                                                          | package    
i | libwbclient0                               | Samba libwbclient Library                                                                            | package    
i | libwebkitgtk-1_0-0                         | Library for rendering web content, GTK+ Port                                                         | package    
i | libwebkitgtk-3_0-0                         | Library for rendering web content, GTK+ Port                                                         | package    
i | libwebp5                                   | Library for the WebP graphics format                                                                 | package    
i | libwebrtc_audio_processing0                | Real-Time Communication Library for Web Browsers                                                     | package    
i | libwicked-0-6                              | Network configuration infrastructure - Shared library                                                | package    
i | libwmf-0_2-7                               | Library for reading Metafile Images                                                                  | package    
i | libwnck-1-22                               | Window Navigator Construction Kit (Library Package)                                                  | package    
i | libwpd-0_10-10                             | Library for Importing WordPerfect (tm) Documents                                                     | package    
i | libwpg-0_3-3                               | Library to read and parse graphics in WordPerfect Graphics format                                    | package    
i | libwps-0_3-3                               | Library for importing the Microsoft Works word processor and spreadsheet file formats                | package    
i | libwrap0                                   | The TCP wrapper library                                                                              | package    
i | libwx_baseu-2_8-0-stl                      | wxWidgets Library                                                                                    | package    
i | libwx_baseu_net-2_8-0-stl                  | wxWidgets Library                                                                                    | package    
i | libwx_baseu_xml-2_8-0-stl                  | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_adv-2_8-0-stl                  | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_aui-2_8-0-stl                  | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_core-2_8-0-stl                 | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_gl-2_8-0-stl                   | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_html-2_8-0-stl                 | wxWidgets Library                                                                                    | package    
i | libwx_gtk2u_xrc-2_8-0-stl                  | wxWidgets Library                                                                                    | package    
i | libx86-1                                   | x86 real-mode library                                                                                | package    
i | libx86emu1                                 | A small x86 emulation library.                                                                       | package    
i | libxapian22                                | Xapian search engine libraries                                                                       | package    
i | libxcb-composite0                          | X11 Composite Extension C library                                                                    | package    
i | libxcb-damage0                             | X11 Damage Extension C library                                                                       | package    
i | libxcb-devel                               | Development files for the X11 protocol C library                                                     | package    
i | libxcb-dpms0                               | X11 DPMS Extension C library                                                                         | package    
i | libxcb-dri2-0                              | X11 DRI2 Extension C library                                                                         | package    
i | libxcb-dri3-0                              | X11 DRI3 Extension C library                                                                         | package    
i | libxcb-glx0                                | X11 GLX Extension C library                                                                          | package    
i | libxcb-icccm4                              | XCB utility module for client- and WM-side ICCCM helpers                                             | package    
i | libxcb-image0                              | XCB utility module for XImage/XShmImage-like functions                                               | package    
i | libxcb-keysyms1                            | XCB utility module for X keycode constants and conversions                                           | package    
i | libxcb-present0                            | X11 Present Extension C library                                                                      | package    
i | libxcb-randr0                              | X11 RandR Extension C library                                                                        | package    
i | libxcb-record0                             | X11 RECORD Extension C library                                                                       | package    
i | libxcb-render-util0                        | XCB utility module for the Render extension                                                          | package    
i | libxcb-render0                             | X11 Render Extension C library                                                                       | package    
i | libxcb-res0                                | X11 Resource Extension C library                                                                     | package    
i | libxcb-screensaver0                        | X11 ScreenSaver Extension C library                                                                  | package    
i | libxcb-shape0                              | X11 Shape Extension C library                                                                        | package    
i | libxcb-shm0                                | X11 Shared Memory Extension C library                                                                | package    
i | libxcb-sync1                               | X11 Sync Extension C library                                                                         | package    
i | libxcb-util1                               | XCB utility modules                                                                                  | package    
i | libxcb-xevie0                              | X11 Xevie Extension C library                                                                        | package    
i | libxcb-xf86dri0                            | X11 XFree86-DRI Extension C library                                                                  | package    
i | libxcb-xfixes0                             | X11 Xfixes Extension C library                                                                       | package    
i | libxcb-xinerama0                           | X11 Xinerama Extension C library                                                                     | package    
i | libxcb-xkb1                                | X11 Keyboard Extension C library                                                                     | package    
i | libxcb-xprint0                             | X11 XPrint Extension C library                                                                       | package    
i | libxcb-xtest0                              | X11 XTEST Extension C library                                                                        | package    
i | libxcb-xv0                                 | X11 video Extension C library                                                                        | package    
i | libxcb-xvmc0                               | X11 Video Motion Compensation Extension C library                                                    | package    
i | libxcb1                                    | X11 core protocol C library                                                                          | package    
i | libxerces-c-3_1                            | Shared libraries for Xerces-c - a validating XML parser                                              | package    
i | libxine2                                   | Video Player with Plug-Ins                                                                           | package    
i | libxine2-pulse                             | Pulseaudio plugin for xine                                                                           | package    
i | libxkbcommon-0_4_3                         | Library for handling xkb descriptions                                                                | package    
i | libxkbcommon-x11-0_4_3                     | Library for handling xkb descriptions using XKB-X11                                                  | package    
i | libxkbfile1                                | X11 keyboard file manipulation library                                                               | package    
i | libxml++-2_6-2                             | C++ Interface for XML Files                                                                          | package    
i | libxml2-2                                  | A Library to Manipulate XML Files                                                                    | package    
i | libxml2-tools                              | Tools using libxml                                                                                   | package    
i | libxshmfence-devel                         | Development files for the X Shm-Fence library                                                        | package    
i | libxshmfence1                              | A tiny library that exposes a event API on top of Linux futexes                                      | package    
i | libxslt-tools                              | Extended Stylesheet Language (XSL) Transformation utilities                                          | package    
i | libxslt1                                   | XSL Transformation Library                                                                           | package    
i | libxtables10                               | iptables extension interface                                                                         | package    
i | libyaml-0-2                                | Shared library from libyaml                                                                          | package    
i | libyui-ncurses-pkg6                        | Libyui - yast2 package selector widget for the ncurses UI                                            | package    
i | libyui-ncurses6                            | Libyui - Character Based User Interface                                                              | package    
i | libyui-qt-graph6                           | Libyui - Qt Graph Widget                                                                             | package    
i | libyui-qt-pkg6                             | Libyui - Qt Package Selector                                                                         | package    
i | libyui-qt6                                 | Libyui - Qt User Interface                                                                           | package    
i | libyui6                                    | Libyui - GUI-abstraction library                                                                     | package    
i | libz1                                      | Include Files and Libraries mandatory for Development                                                | package    
i | libzio1                                    | A Library for Accessing Compressed Text Files                                                        | package    
i | libzip2                                    | C library for reading, creating, and modifying zip archives                                          | package    
i | libzvbi0                                   | VBI Decoding Library                                                                                 | package    
i | libzypp                                    | Package, Patch, Pattern, and Product Management                                                      | package    
i | link-grammar                               | An English grammar checker                                                                           | package    
i | linuxconsoletools                          | A set of utilities for joysticks                                                                     | package    
i | lirc                                       | Tools for Infrared Receivers                                                                         | package    
i | lirc-remotes                               | LIRC remote definitions                                                                              | package    
i | lockdev                                    | A library for locking devices                                                                        | package    
i | logrotate                                  | Rotate, compress, remove, and mail system log files                                                  | package    
i | lsof                                       | A Program That Lists Information about Files Opened by Processes                                     | package    
i | lsscsi                                     | List all SCSI devices in the system                                                                  | package    
i | lua                                        | Small Embeddable Language with Simple Procedural Syntax                                              | package    
i | lua-devel                                  | Development files for lua                                                                            | package    
i | luit                                       | Locale and ISO 2022 support for Unicode terminals                                                    | package    
i | lvm2                                       | Logical Volume Manager Tools                                                                         | package    
i | m4                                         | GNU m4                                                                                               | package    
i | mailx                                      | A MIME-Capable Implementation of the mailx Command                                                   | package    
i | make                                       | GNU make                                                                                             | package    
i | man                                        | A Program for Displaying man Pages                                                                   | package    
i | marble                                     | Generic map viewer                                                                                   | package    
i | mariadb                                    | Server part of MariaDB                                                                               | package    
i | mariadb-client                             | Client for MariaDB                                                                                   | package    
i | mariadb-errormessages                      | MySQL Community Server development header files and libraries                                        | package    
i | master-boot-code                           | i386 Master Boot Record Code                                                                         | package    
i | mcelog                                     | Log Machine Check Events                                                                             | package    
i | mdadm                                      | Utility for Configuring MD Setup                                                                     | package    
i | metamail                                   | MIME Mail Handler                                                                                    | package    
i | mjpegtools                                 | MJPEG Video Capture and Processing Tools                                                             | package    
i | mkfontdir                                  | Utility to create index of X font files                                                              | package    
i | mkfontscale                                | Utility to create index of scalable font files for X                                                 | package    
i | mobipocket                                 | E-book plugin and library                                                                            | package    
i | moodbar                                    | Analysis program for creating a colorful visual representation of an audio file                      | package    
i | mozilla-kde4-integration                   | Mozilla KDE Integration                                                                              | package    
i | mozilla-nspr                               | Netscape Portable Runtime                                                                            | package    
i | mozilla-nss                                | Network Security Services                                                                            | package    
i | mozilla-nss-certs                          | CA certificates for NSS                                                                              | package    
i | mpt-status                                 | Program Showing the Status of LSI 1030 RAID Controller                                               | package    
i | mtools                                     | Access Files on an MS-DOS File System                                                                | package    
i | mtpaint                                    | Painting program for creating icons and pixel-based artwork                                          | package    
i | multipath-tools                            | Tools to Manage Multipathed Devices with the device-mapper                                           | package    
i | myspell-dictionaries                       | A Source Package for Dictionaries Used by MySpell                                                    | package    
i | myspell-lightproof-en                      | Lightproof for en                                                                                    | package    
i | nano                                       | Pico Editor Clone with Enhancements                                                                  | package    
i | ncurses-utils                              | Tools using the new curses libraries                                                                 | package    
i | nepomuk-core                               | The KDE Nepomuk Core Library                                                                         | package    
i | net-tools                                  | Important Programs for Networking                                                                    | package    
i | netcat-openbsd                             | TCP/IP swiss army knife                                                                              | package    
i | netpbm                                     | A Powerful Graphics Conversion Package                                                               | package    
i | nfs-client                                 | Support Utilities for NFS                                                                            | package    
i | nfsidmap                                   | NFSv4 ID Mapping Library                                                                             | package    
i | notification-daemon                        | Notification Daemon                                                                                  | package    
i | nscd                                       | Name Service Caching Daemon                                                                          | package    
i | nss-mdns                                   | Host Name Resolution Via Multicast DNS (Zeroconf) for glibc                                          | package    
i | ntfs-3g                                    | NTFS Support in Userspace                                                                            | package    
i | ntfsprogs                                  | NTFS Utilities                                                                                       | package    
i | ntp                                        | Network Time Protocol daemon (version 4)                                                             | package    
i | numlockx                                   | Switch on/off or toggle numlock                                                                      | package    
i | obex-data-server                           | Obex DBus API                                                                                        | package    
i | okular                                     | Document Viewer                                                                                      | package    
i | open-iscsi                                 | Linux* Open-iSCSI Software Initiator                                                                 | package    
i | openSUSE-release                           | openSUSE                                                                                             | package    
i | openSUSE-release-ftp                       | openSUSE                                                                                             | package    
i | openal-soft                                | OpenAL Soft                                                                                          | package    
i | openal-soft-devel                          | OpenAL Soft                                                                                          | package    
i | openexr                                    | Utilities for work with HDR images in OpenEXR format                                                 | package    
i | openexr-devel                              | Library to Handle EXR Pictures (16-bit floating-point format)                                        | package    
i | openexr-doc                                | Library to Handle EXR Pictures in 16-Bit Floating-Point Format                                       | package    
i | openldap2-client                           | The OpenLDAP commandline client tools                                                                | package    
i | openslp                                    | An OpenSLP Implementation of Service Location Protocol V2                                            | package    
i | openssh                                    | Secure Shell Client and Server (Remote Login Program)                                                | package    
i | openssh-askpass                            | A passphrase dialog for OpenSSH and the X Window System                                              | package    
i | openssh-helpers                            | OpenSSH AuthorizedKeysCommand helpers                                                                | package    
i | openssl                                    | Secure Sockets and Transport Layer Security                                                          | package    
i | openvpn                                    | Full-featured SSL VPN solution using a TUN/TAP Interface                                             | package    
i | os-prober                                  | Probes disks on the system for installed operating systems                                           | package    
i | oxygen-cursors4                            | The KDE Workspace Cursors                                                                            | package    
i | p11-kit                                    | Library to work with PKCS#11 modules                                                                 | package    
i | p11-kit-tools                              | Library to work with PKCS#11 modules -- Tools                                                        | package    
i | p7zip                                      | 7-zip file compression program                                                                       | package    
i | pam                                        | A Security Tool that Provides Authentication for Applications                                        | package    
i | pam-config                                 | Modify common PAM configuration files                                                                | package    
i | pango-tools                                | Library for Layout and Rendering of Text -- Tools                                                    | package    
i | parted                                     | GNU partitioner                                                                                      | package    
i | patch                                      | GNU patch                                                                                            | package    
i | patterns-openSUSE-apparmor                 | AppArmor                                                                                             | package    
i | patterns-openSUSE-apparmor_opt             | AppArmor                                                                                             | package    
i | patterns-openSUSE-base                     | Base System                                                                                          | package    
i | patterns-openSUSE-enhanced_base            | Enhanced Base System                                                                                 | package    
i | patterns-openSUSE-enhanced_base_opt        | Enhanced Base System                                                                                 | package    
i | patterns-openSUSE-fonts                    | Fonts                                                                                                | package    
i | patterns-openSUSE-fonts_opt                | Fonts                                                                                                | package    
i | patterns-openSUSE-games                    | Games                                                                                                | package    
i | patterns-openSUSE-imaging                  | Graphics                                                                                             | package    
i | patterns-openSUSE-imaging_opt              | Graphics                                                                                             | package    
i | patterns-openSUSE-kde                      | KDE4 Desktop Environment                                                                             | package    
i | patterns-openSUSE-kde4_basis               | KDE4 Base System                                                                                     | package    
i | patterns-openSUSE-kde4_games               | KDE4 Games                                                                                           | package    
i | patterns-openSUSE-kde4_imaging             | KDE Graphics                                                                                         | package    
i | patterns-openSUSE-kde4_internet            | KDE Internet                                                                                         | package    
i | patterns-openSUSE-kde4_laptop              | KDE Laptop                                                                                           | package    
i | patterns-openSUSE-kde4_multimedia          | KDE Multimedia                                                                                       | package    
i | patterns-openSUSE-kde4_office              | KDE Office                                                                                           | package    
i | patterns-openSUSE-kde4_pure                | KDE System                                                                                           | package    
i | patterns-openSUSE-kde4_utilities           | KDE Utilities                                                                                        | package    
i | patterns-openSUSE-kde4_utilities_opt       | KDE Utilities                                                                                        | package    
i | patterns-openSUSE-kde4_yast                | YaST KDE User Interfaces                                                                             | package    
i | patterns-openSUSE-laptop                   | Laptop                                                                                               | package    
i | patterns-openSUSE-multimedia               | Multimedia                                                                                           | package    
i | patterns-openSUSE-multimedia_opt           | Multimedia                                                                                           | package    
i | patterns-openSUSE-non_oss                  | Misc. Proprietary Packages                                                                           | package    
i | patterns-openSUSE-non_oss_opt              | Misc. Proprietary Packages                                                                           | package    
i | patterns-openSUSE-office                   | Office Software                                                                                      | package    
i | patterns-openSUSE-office_opt               | Office Software                                                                                      | package    
i | patterns-openSUSE-sw_management            | Software Management                                                                                  | package    
i | patterns-openSUSE-sw_management_kde4       | Package Management - Graphical Tools for KDE                                                         | package    
i | patterns-openSUSE-x11                      | X Window System                                                                                      | package    
i | patterns-openSUSE-x11_opt                  | X Window System                                                                                      | package    
i | patterns-openSUSE-yast2_basis              | YaST System Administration                                                                           | package    
i | pavucontrol                                | PulseAudio Volume Control                                                                            | package    
i | pax                                        | POSIX File System Archiver                                                                           | package    
i | pciutils                                   | PCI utilities for Kernel version 2                                                                   | package    
i | pcmciautils                                | Utilities for PC-Cards                                                                               | package    
i | pcsc-lite                                  | PCSC Smart Cards Library                                                                             | package    
i | perl                                       | The Perl interpreter                                                                                 | package    
i | perl-Bootloader                            | Library for Configuring Boot Loaders                                                                 | package    
i | perl-Bootloader-YAML                       | YAML interface for perl-Bootloader                                                                   | package    
i | perl-Clone                                 | recursively copy Perl datatypes                                                                      | package    
i | perl-Crypt-SmbHash                         | perl module Crypt::SmbHash                                                                           | package    
i | perl-DBD-SQLite                            | Self-contained RDBMS in a DBI Driver                                                                 | package    
i | perl-DBI                                   | Database independent interface for Perl                                                              | package    
i | perl-Digest-MD4                            | Perl interface to the MD4 Algorithm                                                                  | package    
i | perl-Digest-SHA1                           | Perl Interface to the SHA-1 Algorithm                                                                | package    
i | perl-File-FcntlLock                        | File locking with L<fcntl(2)>                                                                        | package    
i | perl-HTML-Parser                           | HTML parser class                                                                                    | package    
i | perl-HTML-Tidy                             | (X)HTML validation in a Perl object                                                                  | package    
i | perl-Net-DBus                              | Perl extension for the DBus message system                                                           | package    
i | perl-Net-DNS                               | Perl interface to the Domain Name System                                                             | package    
i | perl-Net-LibIDN                            | Net::LibIDN Perl module                                                                              | package    
i | perl-Net-SSLeay                            | Perl extension for using OpenSSL                                                                     | package    
i | perl-NetxAP                                | Interface to the protocol family IMAP, IMSP, ACAP, and ICAP                                          | package    
i | perl-Params-Util                           | Simple, compact and correct param-checking functions                                                 | package    
i | perl-Parse-RecDescent                      | Generate Recursive-Descent Parsers                                                                   | package    
i | perl-PlRPC                                 | Perl Extension for Writing PlRPC Servers                                                             | package    
i | perl-Term-ReadKey                          | Module for Simple Terminal Control                                                                   | package    
i | perl-TermReadLine-Gnu                      | Perl extension for the GNU Readline/History Library                                                  | package    
i | perl-X11-Protocol                          | Perl module for the X Window System Protocol, version 11                                             | package    
i | perl-X500-DN                               | Provides an interface for RFC 2253 style DN strings                                                  | package    
i | perl-XML-LibXML                            | Perl Binding for libxml2                                                                             | package    
i | perl-XML-NamespaceSupport                  | A simple generic namespace support class                                                             | package    
i | perl-XML-Parser                            | A perl module for parsing XML documents                                                              | package    
i | perl-XML-SAX                               | XML::SAX Perl Module                                                                                 | package    
i | perl-XML-XPath                             | A set of modules for parsing and evaluating XPath statements                                         | package    
i | perl-YAML-LibYAML                          | Perl YAML Serialization using XS and libyaml                                                         | package    
i | perl-apparmor                              | Perl interface for libapparmor functions                                                             | package    
i | perl-base                                  | The Perl interpreter                                                                                 | package    
i | perl-gettext                               | Message handling functions                                                                           | package    
i | permissions                                | SUSE Linux Default Permissions                                                                       | package    
i | phonon-backend-gstreamer                   | Phonon Multimedia Platform Abstraction                                                               | package    
i | pigz                                       | Multi-core gzip version                                                                              | package    
i | pinentry                                   | Collection of Simple PIN or Passphrase Entry Dialogs                                                 | package    
i | pinentry-qt4                               | Collection of Simple PIN or Passphrase Entry Dialogs                                                 | package    
i | pkcs11-helper                              | Helper Library for the Use with Smart Cards and the PKCS#11 API                                      | package    
i | pkg-config                                 | A library management system                                                                          | package    
i | plasma-addons                              | Additional Plasma Widgets                                                                            | package    
i | plasma-addons-akonadi                      | Additional Plasmoids Depending on Akonadi                                                            | package    
i | plasma-addons-lancelot                     | Additional Lancelot Launcher Plasmoid                                                                | package    
i | plasma-addons-marble                       | Additional Plasmoids Depending on Marble                                                             | package    
i | plasma-nm                                  | Plasma applet written in QML for managing network connections                                        | package    
i | plasma-nm-openvpn                          | OpenVPN support for plasma-nm                                                                        | package    
i | plasma-nm-pptp                             | PPTP support for plasma-nm                                                                           | package    
i | plasma-nm-vpnc                             | Vpnc support for plasma-nm                                                                           | package    
i | plasmoid-folderview                        | Plasmoid to display a folder                                                                         | package    
i | plymouth                                   | Graphical Boot Animation and Logger                                                                  | package    
i | plymouth-dracut                            | Plymouth related utilities for dracut                                                                | package    
i | plymouth-plugin-label                      | Plymouth label plugin                                                                                | package    
i | plymouth-plugin-script                     | Plymouth "script" plugin                                                                             | package    
i | plymouth-scripts                           | Plymouth related scripts                                                                             | package    
i | pm-utils                                   | Tools to suspend and hibernate computers                                                             | package    
i | polkit                                     | PolicyKit Authorization Framework                                                                    | package    
i | polkit-kde-agent-1                         | PolicyKit authentication agent for KDE                                                               | package    
i | poppler-tools                              | PDF Rendering Library Tools                                                                          | package    
i | postfix                                    | A fast, secure, and flexible mailer                                                                  | package    
i | ppp                                        | The Point to Point Protocol for Linux                                                                | package    
i | pptp                                       | Point-to-Point Tunneling Protocol (PPTP) Client                                                      | package    
i | prctl                                      | A utility to perform process operations                                                              | package    
i | printproto-devel                           | The X11 Protocol: Xprint extension                                                                   | package    
i | procinfo                                   | Display System Status Gathered from /proc                                                            | package    
i | procmail                                   | A program for local e-mail delivery                                                                  | package    
i | procps                                     | The ps utilities for /proc                                                                           | package    
i | psmisc                                     | Utilities for managing processes on your system                                                      | package    
i | psutils                                    | Tools for Manipulating PostScript Files                                                              | package    
i | pthread-stubs-devel                        | The X Protocol                                                                                       | package    
